,index,0_gesture,1_gesture,2_gesture,3_gesture,4_gesture,5_gesture,6_gesture,7_gesture,8_gesture,9_gesture,Label
1,Come_here_1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Come_here
2,Come_here_2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Come_here
3,Come_here_3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Come_here
4,Come_here_4,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,Come_here
5,Come_here_5,2,2,2,2,0,0,0,1,1,1,Come_here
6,Come_here_6,1,3,3,3,0,2,2,0,0,0,Come_here
7,Come_here_7,1,1,1,0,3,3,3,2,2,2,Come_here
8,Come_here_8,2,0,0,1,1,0,1,3,3,3,Come_here
9,Come_here_9,2,2,2,0,0,1,1,1,1,3,Come_here
10,Come_here_10,3,3,3,2,2,0,0,1,1,3,Come_here
11,Come_here_11,3,3,2,2,2,3,3,1,1,3,Come_here
12,Come_here_12,3,0,0,2,2,0,0,3,3,3,Come_here
13,Come_here_13,3,3,0,2,2,1,1,1,3,3,Come_here
14,Come_here_14,0,0,0,1,1,1,3,3,3,2,Come_here
15,Come_here_15,2,2,3,3,3,3,3,3,0,0,Come_here
16,Come_here_16,0,2,2,3,1,1,1,3,3,3,Come_here
17,Come_here_17,3,2,2,0,0,0,1,1,1,1,Come_here
18,Come_here_18,1,0,0,0,0,1,1,1,1,3,Come_here
19,Come_here_19,3,0,3,0,1,1,1,1,3,3,Come_here
